CIRCUITID,CIRCUIT_NAME,LOCATION,COUNTRY,ESTIMATED_LENGTH_KM,AVG_RACE_LAPS,ESTIMATED_RACE_DISTANCE_KM,RACES_HELD,UNIQUE_DRIVERS,UNIQUE_CONSTRUCTORS,AVG_POINTS_AWARDED,MAX_LAP_SPEED,TOTAL_DNFS,DNF_PERCENTAGE
70,Red Bull Ring,Spielberg,Austria,4.31989623218316,71.0,306.71263248500435,13,50,20,5.0,236.894,165,62.50
3,Bahrain International Circuit,Sakhir,Bahrain,5.26760097198021,59.416666666666664,312.9832910851575,12,52,20,4.991803278688525,230.214,114,46.72
9,Silverstone Circuit,Silverstone,UK,5.89098710223075,51.916666666666664,305.8404137241464,12,50,20,4.991803278688525,243.494,101,41.39
4,Circuit de Barcelona-Catalunya,Montmeló,Spain,4.659043291274961,66.0,307.49685722414745,11,50,20,4.986607142857143,219.641,139,62.05
11,Hungaroring,Budapest,Hungary,4.38098880577622,69.9090909090909,306.2709446947194,11,50,20,4.986607142857143,205.823,134,59.82
24,Yas Marina Circuit,Abu Dhabi,UAE,5.456307815582314,56.09090909090909,306.04926565584435,11,50,19,5.481981981981982,222.002,106,47.75
14,Autodromo Nazionale di Monza,Monza,Italy,5.79272802906473,52.81818181818182,305.9613622624189,11,51,20,4.982142857142857,256.100,98,43.75
13,Circuit de Spa-Francorchamps,Spa,Belgium,7.003983780254011,40.0,280.1593512101604,11,48,20,4.756696428571429,240.822,61,27.23
6,Circuit de Monaco,Monte-Carlo,Monaco,3.3373210877286676,76.6,255.63879532001593,10,50,20,4.9754901960784315,164.769,106,51.96
69,Circuit of the Americas,Austin,USA,5.512986013046829,56.0,308.72721673062244,10,47,18,5.07,206.374,101,50.50
18,Autódromo José Carlos Pace,São Paulo,Brazil,4.308989648810579,70.8,305.07646713578896,10,48,18,5.07,219.909,92,46.00
32,Autódromo Hermanos Rodríguez,Mexico City,Mexico,4.3039891296777775,71.0,305.5832282071222,9,45,18,5.016483516483516,199.223,108,59.34
7,Circuit Gilles Villeneuve,Montreal,Canada,4.360989445132646,69.77777777777777,304.30015239370016,9,49,20,4.961956521739131,214.833,96,52.17
1,Albert Park Grand Prix Circuit,Melbourne,Australia,5.294654963175764,57.666666666666664,305.32510287646903,9,47,20,5.044198895027624,238.066,94,51.93
22,Suzuka Circuit,Suzuka,Japan,5.806986973533084,49.111111111111114,285.18758247795813,9,48,20,4.956521739130435,229.770,95,51.63
15,Marina Bay Street Circuit,Marina Bay,Singapore,5.037167947607937,60.55555555555556,305.0285034940362,9,49,20,4.945652173913044,188.218,77,41.85
71,Sochi Autodrom,Sochi,Russia,5.8479863632339955,52.875,309.21227895599753,8,45,19,4.975460122699387,219.847,83,50.92
73,Baku City Circuit,Baku,Azerbaijan,6.002985129180556,51.0,306.15224158820837,8,44,17,5.012345679012346,209.795,61,37.65
17,Shanghai International Circuit,Shanghai,China,5.450986610209312,55.714285714285715,303.69782542594737,7,46,19,4.923611111111111,207.126,64,44.44
2,Sepang International Circuit,Kuala Lumpur,Malaysia,5.543337741326389,56.0,310.42691351427777,4,33,14,4.809523809523809,212.104,52,61.90
10,Hockenheimring,Hockenheim,Germany,4.57399020697832,66.25,303.0268512123137,4,40,16,4.821428571428571,217.968,43,51.19
34,Circuit Paul Ricard,Le Castellet,France,5.8419850938924505,53.0,309.62520997629986,4,31,15,5.0875,226.775,38,47.50
39,Circuit Park Zandvoort,Zandvoort,Netherlands,4.258989393097222,72.0,306.647236303,4,27,12,5.1,215.654,35,43.75
21,Autodromo Enzo e Dino Ferrari,Imola,Italy,4.908988848219373,63.0,309.26629743782047,4,28,14,5.1,234.121,34,42.50
77,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,6.173986286973304,50.0,308.6993143486652,4,28,12,5.1,244.962,27,33.75
78,Losail International Circuit,Al Daayen,Qatar,5.405061912658731,57.0,308.08852902154763,3,28,12,5.1,236.798,25,41.67
79,Miami International Autodrome,Miami,USA,5.41198635325463,57.0,308.48322213551387,3,24,12,5.083333333333333,217.184,8,13.33
75,Autódromo Internacional do Algarve,Portimão,Portugal,4.652988061118234,66.0,307.09721203380343,2,24,12,5.1,212.708,25,62.50
5,Istanbul Park,Istanbul,Turkey,5.337986408138889,58.0,309.6032116720555,2,24,12,5.1,212.500,21,52.50
80,Las Vegas Strip Street Circuit,Las Vegas,United States,6.200987506340278,50.0,310.04937531701387,2,22,12,5.1,235.292,7,17.50
76,Autodromo Internazionale del Mugello,Mugello,Italy,5.244986590061728,59.0,309.45420881364197,1,20,10,5.1,239.518,8,40.00
20,Nürburgring,Nürburg,Germany,5.147986154208334,60.0,308.8791692525,1,20,10,5.1,210.267,5,25.00
